Disaster,,,,,,,,,,
ID,ORGANIZATION,YEAR_,START_DATE,END_DATE,UNIT,NAME,CAUSE,LOCALITY,DESTRUCTION (in Thousand Dollars),TOTAL_ACRES
1676,FWS,2000,5/26/2000 0:00,5/28/2000 0:00,22530,SASABE,Human,ARI,4,200
1677,FWS,2000,06-02-2000 00:00,06-04-2000 00:00,22530,CITYHALL2,Human,ARI,4,5200
1678,FWS,2000,06-10-2000 00:00,06-11-2000 00:00,22530,ROADCAMP,Human,ARI,4,302
1679,FWS,2000,06-12-2000 00:00,06-12-2000 00:00,22530,FIGUEROA,Human,ARI,4,0.1
1680,FWS,1991,5/16/1991 0:00,5/18/1991 0:00,22530,CITY HALL,Human,ARI,4,6530
1681,FWS,1991,6/13/1991 0:00,6/13/1991 0:00,22530,BARREL,Natural,ARI,4,160
1682,FWS,1991,7/26/1991 0:00,7/30/1991 0:00,22530,CUMERO,Natural,ARI,4,2500
1683,FWS,1991,08-12-1991 00:00,8/15/1991 0:00,22530,GUIJAS,Human,ARI,4,247
1684,FWS,1991,8/16/1991 0:00,8/16/1991 0:00,22530,ESPINOSA,Natural,ARI,4,80
1685,FWS,1994,2/16/1994 0:00,2/16/1994 0:00,22530,WAREYARD,Human,ARI,4,0.9
1686,FWS,1994,03-02-1994 00:00,03-02-1994 00:00,22530,FLARE 1,Human,ARI,4,19.2
1687,FWS,2000,7/24/2000 0:00,7/25/2000 0:00,22530,FIGUEROA1,Natural,ARI,4,100
1688,FWS,2000,7/24/2000 0:00,7/25/2000 0:00,22530,FIGUEROA2,Natural,ARI,4,40
1689,FWS,1994,3/27/1994 0:00,3/27/1994 0:00,22530,PARKING,Human,ARI,4,0.2
1690,FWS,2000,08-05-2000 00:00,08-05-2000 00:00,22530,CIENEGA,Natural,ARI,4,1
1691,FWS,1994,05-10-1994 00:00,05-10-1994 00:00,22530,ECLIPSE,Natural,ARI,4,260
1692,FWS,1997,03-06-1997 00:00,03-06-1997 00:00,22530,ASHCRAFT,Human,ARI,4,0.1
1693,FWS,1997,04-08-1997 00:00,04-08-1997 00:00,22530,BADGER,Human,ARI,4,0.1
1694,FWS,1997,4/17/1997 0:00,4/17/1997 0:00,22530,PUNTA N.,Human,ARI,4,461
1695,FWS,2000,8/15/2000 0:00,8/15/2000 0:00,22530,TEQUILA,Natural,ARI,4,0.2
1696,FWS,1997,4/23/1997 0:00,4/23/1997 0:00,22530,TWISTER,Human,ARI,4,86
1697,FWS,1997,4/23/1997 0:00,4/23/1997 0:00,22530,LOADER,Human,ARI,4,35
1698,FWS,1999,4/23/1999 0:00,,22530,MP14.5-286,Human,ARI,4,0.1
1699,FWS,1997,05-07-1997 00:00,05-08-1997 00:00,22530,FIGUEROA,Human,ARI,4,900
1700,FWS,1999,4/23/1999 0:00,,22530,WARM#1,Human,ARI,4,0.1
1701,FWS,1997,05-05-1997 00:00,05-05-1997 00:00,22530,286-MP3,Human,ARI,4,0.1
1702,FWS,1997,05-05-1997 00:00,05-05-1997 00:00,22530,286-MP10,Human,ARI,4,0.1
1703,FWS,1999,4/26/1999 0:00,,22530,WARM#2,Human,ARI,4,0.1
1704,FWS,1999,4/28/1999 0:00,4/28/1999 0:00,22530,TRUCK,Human,ARI,4,0.5
1705,FWS,1997,05-07-1997 00:00,05-07-1997 00:00,22530,286-MP19,Human,ARI,4,0.1
1706,FWS,1999,3/31/1999 0:00,,22530,WARM#3,Human,ARI,4,0.1
1707,FWS,1994,07-06-1994 00:00,07-07-1994 00:00,22530,HIPPY,Human,ARI,4,2500
1708,FWS,1994,07-04-1994 00:00,07-04-1994 00:00,22530,SASABE,Human,ARI,4,1200
1709,FWS,1994,6/28/1994 0:00,6/28/1994 0:00,22530,R HILL 4,Natural,ARI,4,1.5
1710,FWS,1994,6/28/1994 0:00,6/28/1994 0:00,22530,GUIJAS 2,Natural,ARI,4,0.1
1711,FWS,1994,6/27/1994 0:00,6/27/1994 0:00,22530,GUIJAS 1,Natural,ARI,4,0.1
1712,FWS,1994,6/28/1994 0:00,6/28/1994 0:00,22530,SECUNDINO,Natural,ARI,4,5
1713,FWS,1997,06-05-1997 00:00,06-05-1997 00:00,22530,COOLER,Human,ARI,4,20
1714,FWS,1999,6/14/1999 0:00,6/17/1999 0:00,22530,BROWN,Human,ARI,4,50
1715,FWS,1999,6/14/1999 0:00,6/14/1999 0:00,22530,COMPANY,Human,ARI,4,1.5
1716,FWS,1997,07-09-1997 00:00,07-09-1997 00:00,22530,SMITH,Natural,ARI,4,0.1
1717,FWS,1994,7/26/1994 0:00,7/26/1994 0:00,22530,MILE 18,Natural,ARI,4,0.2
1718,FWS,1994,7/27/1994 0:00,7/27/1994 0:00,22530,ESPINOSA,Natural,ARI,4,77
1719,FWS,1997,8/13/1997 0:00,8/14/1997 0:00,22530,CREEK,Natural,ARI,4,1
1720,FWS,1997,8/26/1997 0:00,8/26/1997 0:00,22530,LAS GUIJAS,Natural,ARI,4,8
1721,FWS,1997,9/14/1997 0:00,9/14/1997 0:00,22530,POWER,Human,ARI,4,1.5
1722,FWS,2001,01-01-2001 00:00,01-01-2001 00:00,22530,HIGHGATE,Human,ARI,4,0.1
1723,FWS,2001,2/24/2001 0:00,2/24/2001 0:00,22530,SASABE1,Human,ARI,4,0.1
1724,FWS,1997,11-11-1997 00:00,11-11-1997 00:00,22530,MONITOR,Human,ARI,4,6.5
