Calamities,,,,,,,,,,
ID,COMPANY,UNIT,NAME,CAUSE,YEAR_,START_DATE,END_DATE,STATE,STATE_FIPS,AREA_AFFECTED(in ACRES)
11864,FWS,65580,HORSESHOE,Natural,2002,3/26/2002 0:00,3/26/2002 0:00,WYO,56,22.8
11865,FWS,65580,TELEPHONE ISLAND,Natural,2000,7/26/2000 0:00,7/29/2000 0:00,MON,30,136
11866,FWS,65580,BIGISLAN96,Human,1996,10-03-1996 00:00,10-03-1996 00:00,WYO,56,0.2
11867,FWS,65580,MOTORHOME,Human,1993,10/23/1993 0:00,10/23/1993 0:00,WYO,56,7
11868,FWS,65580,TEAL ISLAND,Human,2001,05-07-2001 00:00,05-07-2001 00:00,WYO,56,9
11869,FWS,65580,CONFLUENCE,Natural,2001,06-08-2001 00:00,06-08-2001 00:00,WYO,56,8
11870,FWS,65580,GREEN RIVER FIRE,Natural,2005,6/23/2005 0:00,6/23/2005 0:00,WYO,56,0.1
11871,FWS,65580,VISITOR CENTER,Natural,2003,05-11-2003 00:00,05-11-2003 00:00,WYO,56,13.9
11872,FWS,65580,LONE TREE,Natural,2003,7/23/2003 0:00,7/23/2003 0:00,WYO,56,0.1
11949,FWS,14560,LOT 5,Human,1990,03-12-1990 00:00,03-12-1990 00:00,CAL,6,1.5
11950,FWS,14560,EASTER,Human,1991,3/31/1991 0:00,3/31/1991 0:00,CAL,6,2
11951,FWS,81681,RIVERMOUTH,Human,1992,5/21/1992 0:00,5/22/1992 0:00,CAL,6,6
11952,FWS,81681,SOUTHTRAIL,Human,1992,07-02-1992 00:00,07-02-1992 00:00,CAL,6,5.9
11953,FWS,81681,SOUTHRIVER,Human,1993,03-11-1993 00:00,03-11-1993 00:00,CAL,6,1.5
11954,FWS,81681,BEACH FIRE,Human,1993,6/20/1993 0:00,6/20/1993 0:00,CAL,6,0.5
11983,FWS,81648,LOOP TRAIL,Human,1987,07-03-1987 00:00,07-03-1987 00:00,CAL,6,10
11984,FWS,81648,SPOT,Human,1996,07-04-1996 00:00,07-04-1996 00:00,CAL,6,1
11985,FWS,81646,GATE,Human,1989,7/21/1989 0:00,7/21/1989 0:00,CAL,6,0.2
11986,FWS,81646,SARDIS 1,Human,1987,6/24/1987 0:00,6/24/1987 0:00,CAL,6,1
11987,FWS,81646,SARDISPKLO,Human,1985,06-05-1985 00:00,06-05-1985 00:00,CAL,6,3
11988,FWS,81646,STAMM-WEND,Human,1985,06-07-1985 00:00,06-07-1985 00:00,CAL,6,10
11989,FWS,81646,SARDISPLAT,Human,1990,6/25/1990 0:00,6/25/1990 0:00,CAL,6,3
11990,FWS,81646,STAMMYNYRD,Human,1990,10/31/1990 0:00,10/31/1990 0:00,CAL,6,7
11991,FWS,81646,STAMMRIVER,Human,1990,12/31/1990 0:00,12/31/1990 0:00,CAL,6,2
11992,FWS,81648,PG E-EAST,Human,1984,6/17/1984 0:00,6/17/1984 0:00,CAL,6,7
11993,FWS,81648,SARDISBEAC,Human,1984,07-12-1984 00:00,,CAL,6,0.1
11994,FWS,81648,SARDIS II,Human,1984,08-12-1984 00:00,08-12-1984 00:00,CAL,6,1.5
11995,FWS,81648,SARDIS,Human,1984,9/30/1984 0:00,9/30/1984 0:00,CAL,6,0.5
11996,FWS,81648,PGE E OAKS,Human,1984,10-09-1984 00:00,10-09-1984 00:00,CAL,6,0.3
11997,FWS,81644,RAILROAD,Human,1996,07-06-1996 00:00,07-06-1996 00:00,CAL,6,0.1
12004,FWS,13551,DIRTY LOG 2,Human,2005,8/16/2005 0:00,8/16/2005 0:00,WAS,53,0.1
12005,FWS,13551,DIRTY LOG,Human,2005,8/15/2005 0:00,8/15/2005 0:00,WAS,53,0.2
12006,FWS,13552,DIAMOND PT,Human,1992,10-07-1992 00:00,10-07-1992 00:00,WAS,53,0.1
12007,FWS,13530,WOODFRAME OVERLOOK,Human,2005,9/21/2005 0:00,9/21/2005 0:00,WAS,53,0.2
12047,FWS,22520,BIOLOGY FIRE,Human,2007,2/16/2007 0:00,2/16/2007 0:00,NM,35,0.1
12049,FWS,84551,PAHRANAGAT,Undetermined,2007,1/25/2007 0:00,1/27/2007 0:00,NEV,32,38
12055,FWS,81681,CASPIAN,Undetermined,2007,01-05-2007 00:00,01-05-2007 00:00,CAL,6,0.1
12061,FWS,22530,HONNUS,Human,2007,3/16/2007 0:00,3/18/2007 0:00,ARI,4,162
12078,FWS,13583,OVERLOOK UMA,Human,2007,3/22/2007 0:00,3/22/2007 0:00,ORE,41,0.1
12092,FWS,13510,PARA,Human,2007,04-07-2007 00:00,04-07-2007 00:00,WAS,53,8
12099,FWS,81619,SAC NWR TRACT 44,Human,2007,3/31/2007 0:00,3/31/2007 0:00,CAL,6,1.4
