Date_of_event,Date_of_resolution,Type_of_offence,Summary_of_offence,Zone,Block,Division,Locality
12/20/2007,01-04-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F3,HPC
12/20/2007,01-08-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,K,K2,PS
12/20/2007,4/14/2008,THEFT-BUILDING,THEFT-BUILDING,WEST,Q,Q1,MAGNOLIA
12/21/2007,01-11-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,BS
12/21/2007,02-12-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,Q,Q3,QA
12/21/2007,1/16/2008,CAR PROWL,THEFT-CARPROWL,NORTH,U,U3,SANDPOINT
12/21/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BN
12/21/2007,1/20/2008,CAR PROWL,THEFT-CARPROWL,NORTH,U,U2,UNI
12/21/2007,02-08-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,B,B2,BS
12/21/2007,01-09-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,EAST,E,E1,CH
12/21/2007,2/20/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CI
12/21/2007,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
12/21/2007,7/22/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,LW/SP
12/21/2007,1/21/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,U,U2,UNI
12/21/2007,01-03-2008,CAR PROWL,THEFT-AUTOACC,EAST,E,E1,CH
12/21/2007,11/17/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F1,HP
12/21/2007,01-03-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B1,BS
12/21/2007,12/21/2007,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R1,NBH
12/21/2007,01-06-2008,CAR PROWL,THEFT-CARPROWL,NORTH,N,N1,BITTERLAKE
12/21/2007,01-07-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R3,CC
12/21/2007,01-04-2008,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W1,ALKI
12/22/2007,1/28/2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U2,UNI
12/22/2007,01-06-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,G,G3,JNBH
12/22/2007,9/16/2017,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,U,U2,UNI
12/22/2007,2/13/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D3,SC
12/22/2007,01-02-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,D,D1,BELLTOWN
12/22/2007,01-03-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D1,BELLTOWN
12/22/2007,01-07-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NBH
12/23/2007,12/23/2007,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DC
12/23/2007,01-05-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B3,WALLINGFORD
12/24/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,NORTH,L,L3,LAKECITY
12/24/2007,1/21/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,U,U1,RR
12/24/2007,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U1,RR
12/24/2007,05-05-2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M2,DC
12/24/2007,1/18/2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,B,B3,WALLINGFORD
12/24/2007,01-07-2008,CAR PROWL,THEFT-CARPROWL,WEST,M,M3,DC
12/24/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QA
12/24/2007,01-08-2008,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FH
12/24/2007,12/24/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTHWEST,F,F1,HPC
12/24/2007,01-03-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G3,ML
12/25/2007,01-02-2008,CAR PROWL,THEFT-AUTOACC,SOUTHWEST,W,W3,MORGAN
12/25/2007,01-02-2008,CAR PROWL,THEFT-AUTOACC,NORTH,B,B3,WALLINGFORD
12/25/2007,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U1,RR
12/25/2007,1/24/2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NBH
12/25/2007,06-10-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTHWEST,W,W2,AJ
12/25/2007,1/15/2008,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R1,MBH
12/25/2007,01-03-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,B,B3,WALLINGFORD
12/25/2007,1/24/2008,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,EAST,G,G1,FH
12/25/2007,1/28/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,U,U3,SANDPOINT
12/26/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,RR
12/26/2007,5/27/2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S1,MBH
12/26/2007,01-08-2008,CAR PROWL,THEFT-CARPROWL,NORTH,L,L3,LAKECITY
12/26/2007,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W2,MORGAN
12/26/2007,1/15/2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTHWEST,F,F1,SP
12/26/2007,01-08-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K1,DC
12/27/2007,12/27/2007,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DC
12/27/2007,01-06-2008,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,NORTH,J,J3,GREENWOOD
12/27/2007,1/31/2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M2,DC
12/27/2007,01-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N1,BITTERLAKE
12/27/2007,01-05-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N1,BN
12/27/2007,1/14/2008,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D3,EW
12/28/2007,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L1,LAKECITY
12/28/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,CH
12/28/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FR
12/28/2007,1/16/2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,SC
12/28/2007,01-06-2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,EW
12/28/2007,01-04-2008,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C1,MILLER PARK
12/28/2007,01-02-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B3,WALLINGFORD
12/28/2007,01-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,G,G3,ML
12/28/2007,01-02-2008,CAR PROWL,THEFT-AUTOACC,WEST,D,D2,QA
12/28/2007,01-11-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,NORTH,L,L1,LAKECITY
12/28/2007,01-04-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C1,CH
12/28/2007,01-03-2008,TRESPASS,TRESPASS,NORTH,L,L1,NG
12/28/2007,12/28/2007,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,F,F1,ND
12/28/2007,03-06-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W2,AJ
12/28/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R1,NBH
12/28/2007,1/24/2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U3,SANDPOINT
12/28/2007,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTH,R,R1,NBH
12/28/2007,01-07-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N3,NG
12/29/2007,01-04-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,BN
12/29/2007,01-07-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N3,NG
12/29/2007,01-02-2008,CAR PROWL,THEFT-AUTOACC,SOUTH,S,S2,RB
12/29/2007,01-03-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,UNKNOWN,,,UNKNOWN
12/29/2007,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,SC
12/29/2007,01-03-2008,CAR PROWL,THEFT-AUTOACC,NORTH,L,L1,LAKECITY
12/29/2007,01-04-2008,CAR PROWL,THEFT-CARPROWL,UNKNOWN,,,UNKNOWN
12/29/2007,01-09-2008,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT EXPOSURE,NORTH,J,J3,RR
12/29/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D3,SC
12/29/2007,12/31/2007,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,Q,Q3,QA
12/29/2007,01-04-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
12/29/2007,01-03-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,D,D1,SC
12/30/2007,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O1,SODO
12/30/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,EAST,C,C3,ML
12/30/2007,01-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,L,L2,LAKECITY
12/30/2007,01-09-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W2,AJ
12/30/2007,01-03-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S3,RV
12/30/2007,01-04-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B2,FR
12/30/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,O,O1,SODO
12/30/2007,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N2,NG
12/30/2007,3/30/2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q1,MAGNOLIA
12/30/2007,1/13/2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,C,C3,ML
12/31/2007,01-01-2008,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E1,CH
12/31/2007,03-03-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTHWEST,F,F3,SP
12/31/2007,01-01-2008,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,U,U1,UNI
12/31/2007,01-06-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D2,SC
12/31/2007,01-01-2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M1,BELLTOWN
12/31/2007,01-01-2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,UNI
12/31/2007,3/31/2008,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,M,M2,SC
12/31/2007,01-04-2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QA
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,WEST,M,M2,SC
12/31/2007,02-11-2008,CAR PROWL,THEFT-AUTOACC,NORTH,U,U3,SANDPOINT
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,EAST,G,G3,ML
12/31/2007,01-01-2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M2,SC
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BN
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R1,NBH
12/31/2007,1/23/2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FR
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,EAST,G,G2,CA/SP
12/31/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BN
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,EAST,E,E1,CH
12/31/2007,01-02-2008,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CH
12/31/2007,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,QA
12/31/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R1,NBH
12/31/2007,01-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,WEST,K,K1,DC
12/31/2007,01-01-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B3,WALLINGFORD
12/31/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B2,FR
12/31/2007,12/31/2007,HOMICIDE,HOMICIDE-PREMEDITATED-WEAPON,EAST,C,C1,CA/SP
12/31/2007,01-01-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R3,HC
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B3,WALLINGFORD
12/31/2007,01-03-2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QA
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,S,S2,BD
12/31/2007,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L1,LAKECITY
12/31/2007,01-02-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,GREENWOOD
12/31/2007,01-03-2008,FAMILY OFFENSE-NONVIOLENT,CHILD-ABANDON,EAST,G,G1,FH
12/31/2007,01-04-2008,THEFT-ALL OTHER,THEFT-PKPOCKET,NORTH,U,U2,UNI
12/31/2007,01-02-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,Q,Q1,MAGNOLIA
12/31/2007,01-02-2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M3,DC
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,SC
12/31/2007,01-02-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,Q,Q3,QA
12/31/2007,01-08-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DC
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,EW
12/31/2007,01-02-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,Q,Q3,QA
12/31/2007,01-01-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U1,UNI
12/31/2007,01-02-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B3,WALLINGFORD
12/31/2007,01-01-2008,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FH
12/31/2007,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q1,MAGNOLIA
12/31/2007,01-01-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,WEST,D,D3,EW
12/31/2007,01-02-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,D,D2,QA
12/31/2007,1/19/2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,NORTH,B,B3,FR
12/31/2007,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,WEST,Q,Q3,QA
12/31/2007,01-01-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N2,NG
12/31/2007,01-10-2008,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q2,QA
12/31/2007,01-07-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U3,SANDPOINT
12/31/2007,01-02-2008,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CH
12/31/2007,1/20/2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,G,G1,FH
12/31/2007,01-02-2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,B,B1,BS
12/31/2007,01-02-2008,CAR PROWL,THEFT-LICENSE PLATE,NORTH,B,B1,BS
12/31/2007,01-03-2008,CAR PROWL,THEFT-CARPROWL,NORTH,J,J3,RR
12/31/2007,01-10-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTH,S,S2,RB
12/31/2007,01-02-2008,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W3,HP
12/31/2007,01-07-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,C,C3,CA/SP
01-01-2008,01-02-2008,CAR PROWL,THEFT-CARPROWL,SOUTHWEST,F,F3,SP
01-01-2008,01-01-2008,NARCOTIC,NARC-SELL-METH,SOUTHWEST,F,F2,RWA
01-01-2008,01-02-2008,CAR PROWL,THEFT-AUTOACC,SOUTHWEST,F,F3,SP
01-01-2008,01-01-2008,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,B,B2,FR
01-01-2008,01-01-2008,DUI,DUI-LIQUOR,EAST,E,E2,CH
01-01-2008,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q3,QA
01-01-2008,01-01-2008,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,Q,Q3,QA
01-01-2008,01-02-2009,CAR PROWL,THEFT-AUTOACC,EAST,C,C3,CA/SP
01-01-2008,01-02-2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D2,QA
01-01-2008,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W1,NA
01-01-2008,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R1,NBH
01-01-2008,01-01-2008,NARCOTIC,NARC-EQUIPMENT/PARAPHENALIA,SOUTHWEST,F,F3,SP
01-01-2008,01-01-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,K,K3,CI
01-01-2008,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,N,N1,BITTERLAKE
01-01-2008,01-01-2008,NARCOTIC,NARC-POSSESS-METH,NORTH,J,J1,GREENWOOD
01-01-2008,01-01-2008,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,B,B1,BS
01-01-2008,01-01-2008,NARCOTIC,NARC-POSSESS-COCAINE,SOUTH,S,S2,BD
01-01-2008,01-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W2,AJ
01-01-2008,3/13/2008,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,WEST,K,K1,DC
01-01-2008,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,L,L2,NG
01-01-2008,01-02-2008,CAR PROWL,THEFT-CARPROWL,NORTH,L,L1,NG
01-01-2008,01-02-2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,EW
01-01-2008,01-02-2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D2,QA
01-01-2008,01-01-2008,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,J,J3,RR
01-01-2008,01-02-2008,CAR PROWL,THEFT-CARPROWL,NORTH,N,N2,BITTERLAKE
01-01-2008,01-02-2008,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,CH
01-01-2008,01-04-2008,ROBBERY-STREET,ROBBERY-STREET-WEAPON,SOUTH,S,S3,RB
01-01-2008,01-01-2008,CAR PROWL,THEFT-CARPROWL,NORTH,N,N2,NG
01-01-2008,01-01-2008,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,UNKNOWN,,,UNKNOWN
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CI
01-01-2008,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B3,WALLINGFORD
01-01-2008,12-05-2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,L,L1,LAKECITY
01-01-2008,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W2,MORGAN
01-01-2008,01-01-2008,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M3,DC
01-01-2008,01-01-2008,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R1,NBH
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CI
01-01-2008,11/27/2011,RAPE,RAPE-WEAPON,UNKNOWN,,,UNKNOWN
01-01-2008,10-09-2009,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D2,SC
01-01-2008,01-03-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,K,K1,DC
01-01-2008,01-01-2008,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,EAST,G,G2,JNBH
01-01-2008,01-01-2008,TRESPASS,TRESPASS,WEST,K,K2,DC
01-01-2008,01-02-2008,MOTOR VEHICLE THEFT,VEH-THEFT-TRAILER,NORTH,L,L1,LAKECITY
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,D,D3,SC
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DC
01-01-2008,9/30/2011,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K1,DC
01-01-2008,01-02-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,B,B2,FR
01-01-2008,01-01-2008,THEFT-BUILDING,THEFT-BUILDING,EAST,C,C1,CH
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CI
01-01-2008,01-08-2008,CAR PROWL,THEFT-CARPROWL,WEST,D,D3,SC
01-01-2008,01-01-2008,LIQUOR LAW VIOLATION,LIQUOR LAW VIOLATION,WEST,K,K3,CI
01-01-2008,01-01-2008,NARCOTIC,NARC-POSSESS-PRESCRIPTION,WEST,Q,Q2,QA
01-01-2008,01-02-2008,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G2,CA/SP
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,N,N3,NG
01-01-2008,01-05-2009,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,QA
01-01-2008,9/25/2008,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L3,LAKECITY
01-01-2008,1/23/2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NG
01-01-2008,01-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R1,MBH
01-01-2008,01-01-2008,NARCOTIC,NARC-SELL-COCAINE,WEST,K,K2,DC
01-01-2008,01-01-2008,NARCOTIC,NARC-POSSESS-OTHER,WEST,K,K3,PS
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DC
01-01-2008,01-01-2008,NARCOTIC,NARC-POSSESS-MARIJU,NORTH,L,L1,NG
01-01-2008,01-01-2008,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R1,NBH
01-01-2008,01-01-2008,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,EAST,G,G1,FH
01-01-2008,01-05-2008,CAR PROWL,THEFT-CARPROWL,EAST,G,G3,JNBH
01-01-2008,06-03-2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,B,B1,BS
01-01-2008,6/30/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
01-01-2008,10-04-2013,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTH,S,S2,BD
01-01-2008,04-01-2013,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,L,L1,LAKECITY
01-01-2008,1/28/2013,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,UNKNOWN,,,UNKNOWN
01-01-2008,01-03-2013,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G2,CA/SP
01-01-2008,8/27/2012,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,EAST,G,G2,CA/SP
01-01-2008,12/13/2011,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,NORTH,L,L3,LAKECITY
01-01-2008,6/24/2011,RAPE,PHYSICAL_VIOLENCE-SODOMY,EAST,C,C2,MILLER PARK
01-01-2008,4/17/2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S2,BD
01-01-2008,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B3,WALLINGFORD
01-01-2008,01-01-2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,Q,Q3,QA
01-01-2008,1/15/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-ABUSED-NOFORCE,EAST,G,G1,FH
01-01-2008,5/14/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,J,J3,GREENWOOD
01-01-2008,4/13/2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,NORTH,L,L3,SANDPOINT
01-01-2008,01-01-2008,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q3,SC
01-01-2008,07-01-2009,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-OTHER,SOUTHWEST,F,F3,HPC
01-01-2008,01-01-2008,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S3,RB
01-01-2008,01-01-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B3,WALLINGFORD
01-01-2008,7/14/2010,PHYSICAL OFFENSE,PHYSICAL_VIOLENCE-INDECENT LIBERTIES,SOUTH,R,R2,CR
01-01-2008,10/22/2008,NARCOTIC,NARC-FORGERY-PRESCRIPTION,NORTH,N,N3,GREENWOOD
01-01-2008,01-01-2008,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B3,WALLINGFORD
01-01-2008,01-01-2008,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,M,M3,DC
01-01-2008,01-01-2008,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N1,BITTERLAKE
01-01-2008,4/22/2008,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,L,L3,LAKECITY
01-01-2008,01-03-2008,CAR PROWL,THEFT-CARPROWL,NORTH,B,B3,WALLINGFORD
01-01-2008,1/30/2008,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E1,CH
01-01-2008,1/14/2008,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,Q,Q1,MAGNOLIA
